iter	MultiClass
0	2.539933979
1	2.361289677
2	2.209580425
3	2.099403402
4	1.993433433
5	1.89791632
6	1.768407102
7	1.621065789
8	1.520609327
9	1.449653656
10	1.380084488
11	1.319343614
12	1.269337577
13	1.225805453
14	1.182233626
15	1.14453706
16	1.11451578
17	1.084512072
18	1.064011807
19	1.04875466
20	1.023575717
21	1.005698351
22	0.9883981491
23	0.9734908484
24	0.9598980291
25	0.9537877352
26	0.9442436366
27	0.9278790347
28	0.9179040309
29	0.9063518614
30	0.8947705905
31	0.8857654808
32	0.8791770825
33	0.8706345347
34	0.8679953469
35	0.8622929821
36	0.8544551104
37	0.8491284452
38	0.8449310991
39	0.8412232786
40	0.8390931834
41	0.8351046641
42	0.8293018495
43	0.8220659456
44	0.8182125056
45	0.8146966294
46	0.8112715215
47	0.8045730262
48	0.8005135317
49	0.7961930203
50	0.7931710081
51	0.7892921892
52	0.7865329776
53	0.7817179071
54	0.778890341
55	0.7732988213
56	0.7682287543
57	0.7668876535
58	0.7637424258
59	0.7628755231
60	0.761115412
61	0.7594296425
62	0.7563519314
63	0.7554721522
64	0.7541457744
65	0.7494292882
66	0.7476439417
67	0.7442575865
68	0.7429256071
69	0.7392518543
70	0.7372337448
71	0.7336995078
72	0.7314315497
73	0.7304837425
74	0.7301737609
75	0.7269915412
76	0.7239469093
77	0.7204834682
78	0.7170184307
79	0.7157460687
80	0.7144318043
81	0.7120175533
82	0.710373792
83	0.7064600895
84	0.7051939886
85	0.70211976
86	0.7002829696
87	0.6975996731
88	0.6959097136
89	0.6942737331
90	0.6922978389
91	0.6907833543
92	0.6890110388
93	0.6877626627
94	0.6867664291
95	0.6839048581
96	0.6837530749
97	0.6828703042
98	0.6825834197
99	0.6807449204
100	0.6786818184
101	0.6772702906
102	0.6755509024
103	0.6743979426
104	0.6725096351
105	0.6705558248
106	0.6679563112
107	0.6643964476
108	0.6616462127
109	0.6591276787
110	0.6588021397
111	0.6570226896
112	0.6564732554
113	0.6562785745
114	0.6559071127
115	0.6550488776
116	0.6535879911
117	0.6533822577
118	0.6521053358
119	0.65062068
120	0.6490949247
121	0.6469076191
122	0.6448694333
123	0.6431009088
124	0.6391703793
125	0.6388343961
126	0.6372124902
127	0.6372080654
128	0.6354000083
129	0.6335935064
130	0.6324962919
131	0.6307403459
132	0.6294716671
133	0.6274396154
134	0.6265278802
135	0.6254476267
136	0.6216044415
137	0.6211505301
138	0.6174957322
139	0.6174442305
140	0.6168188534
141	0.6134910889
142	0.6126124036
143	0.6114669346
144	0.6088364129
145	0.6071266299
146	0.6057052711
147	0.6042193054
148	0.6032698663
149	0.6032543371
150	0.6019701838
151	0.6003545366
152	0.5975939407
153	0.5968511737
154	0.5957132852
155	0.594935084
156	0.5949114377
157	0.5925352197
158	0.5907320027
159	0.589303594
160	0.587500403
161	0.5855523602
162	0.5839913646
163	0.5837341447
164	0.5821631327
165	0.5806958534
166	0.5806803278
167	0.580472654
168	0.5794792615
169	0.5779359679
170	0.5772162142
171	0.5760618298
172	0.5745535985
173	0.5734193991
174	0.5727944025
175	0.571569727
176	0.5704356715
177	0.569933469
178	0.5688427598
179	0.568177943
180	0.5680738999
181	0.5669652624
182	0.5667343377
183	0.5664524605
184	0.5651308605
185	0.5630086211
186	0.5615368073
187	0.5603771009
188	0.5587458918
189	0.5587297091
190	0.5578340437
191	0.5575615038
192	0.5567373561
193	0.5566290852
194	0.5552099657
195	0.5546207172
196	0.5545673803
197	0.5544236449
198	0.5543139685
199	0.5526504408
