iter	Passed	Remaining
0	399	79532
1	744	73660
2	1169	76823
3	1549	75912
4	1916	74741
5	2354	76123
6	2706	74617
7	3013	72326
8	3307	70188
9	3605	68502
10	3890	66846
11	4262	66783
12	4575	65813
13	4873	64753
14	5174	63823
15	5472	62937
16	5776	62178
17	6104	61719
18	6396	60936
19	6676	60092
20	6994	59618
21	7393	59823
22	7767	59774
23	8088	59316
24	8386	58703
25	8725	58395
26	9059	58047
27	9366	57536
28	9659	56956
29	9963	56462
30	10361	56486
31	10710	56230
32	11037	55856
33	11316	55249
34	11636	54857
35	12028	54798
36	12334	54337
37	12649	53928
38	12964	53522
39	13332	53331
40	13703	53143
41	14082	52975
42	14468	52827
43	14777	52393
44	15108	52039
45	15467	51781
46	15791	51405
47	16070	50888
48	16427	50622
49	16795	50385
50	17123	50028
51	17485	49765
52	17814	49410
53	18165	49113
54	18535	48867
55	18841	48450
56	19229	48242
57	19596	47976
58	19952	47682
59	20296	47357
60	20665	47089
61	21002	46746
62	21377	46487
63	21713	46140
64	22079	45856
65	22433	45546
66	22817	45293
67	23211	45058
68	23562	44734
69	23934	44448
70	24270	44096
71	24653	43828
72	25040	43563
73	25389	43230
74	25706	42844
75	25988	42402
76	26301	42013
77	26697	41758
78	26989	41338
79	27330	40995
80	27695	40688
81	28091	40424
82	28418	40059
83	28795	39764
84	29114	39390
85	29500	39105
86	29868	38794
87	30176	38406
88	30542	38092
89	30933	37807
90	31323	37519
91	31659	37164
92	31986	36801
93	32339	36467
94	32697	36139
95	33047	35801
96	33404	35471
97	33805	35185
98	34179	34869
99	34570	34570
100	34953	34261
101	35331	33945
102	35662	33585
103	36028	33256
104	36411	32944
105	36750	32590
106	37090	32237
107	37429	31884
108	37805	31562
109	38243	31290
110	38623	30968
111	39024	30662
112	39423	30352
113	39789	30016
114	40185	29702
115	40556	29368
116	40898	29013
117	41265	28675
118	41610	28323
119	41986	27990
120	42359	27655
121	42699	27299
122	43067	26961
123	43483	26650
124	43912	26347
125	44272	26001
126	44635	25656
127	45015	25321
128	45450	25015
129	45773	24647
130	46159	24312
131	46574	23992
132	46965	23659
133	47362	23328
134	47744	22988
135	48123	22646
136	48468	22288
137	48774	21913
138	49135	21563
139	49468	21200
140	49836	20853
141	50173	20493
142	50510	20133
143	50883	19788
144	51249	19439
145	51594	19082
146	51957	18733
147	52419	18417
148	52804	18074
149	53150	17716
150	53497	17360
151	53891	17018
152	54271	16671
153	54607	16311
154	54975	15960
155	55364	15615
156	55741	15266
157	56162	14929
158	56594	14593
159	56933	14233
160	57334	13888
161	57732	13542
162	58103	13189
163	58491	12839
164	58899	12493
165	59395	12165
166	60303	11916
167	61109	11639
168	61837	11342
169	62182	10973
170	62523	10603
171	63037	10261
172	63637	9931
173	64116	9580
174	64627	9232
175	65348	8911
176	65880	8560
177	66559	8226
178	67047	7865
179	67495	7499
180	68066	7145
181	68872	6811
182	69276	6435
183	69954	6083
184	70370	5705
185	70763	5326
186	71105	4943
187	71504	4564
188	71860	4182
189	72223	3801
190	72597	3420
191	72981	3040
192	73360	2660
193	73760	2281
194	74145	1901
195	74540	1521
196	74867	1140
197	75262	760
198	75759	380
199	76222	0
